FNSKU,Date,units_sold,inventory_level
X0039VNZN7,2024-05-31,,48.0
X0039VP7A1,2024-05-31,,2.0
X0039VT0DL,2024-05-31,,14.0
X003CYX7YD,2024-05-31,,1.0
X003CYXF3B,2024-05-31,1.0,3.0
X003CZT935,2024-05-31,,3.0
X003D00CA3,2024-05-31,,11.0
X003D03T17,2024-05-31,,5.0
X003D06K31,2024-05-31,,1.0
X003D06K45,2024-05-31,,1.0
X003D08K7F,2024-05-31,1.0,40.0
X003D08K7P,2024-05-31,,10.0
X003D0IC1T,2024-05-31,1.0,14.0
X003D0T7YF,2024-05-31,,1.0
X003D11OR7,2024-05-31,,4.0
X003D13CWR,2024-05-31,,1.0
X003D1879F,2024-05-31,2.0,70.0
X003D18F0V,2024-05-31,6.0,15.0
X003DTG4RJ,2024-05-31,,48.0
X003DTG4RT,2024-05-31,,245.0
X003DTKRJF,2024-05-31,,49.0
X003DTMYS7,2024-05-31,,100.0
X003DTMYSH,2024-05-31,,3.0
X003DTNF85,2024-05-31,,5.0
X003F3HIFF,2024-05-31,,28.0
X003IVKM9X,2024-05-31,,1.0
X003K9N8RL,2024-05-31,,2.0
X003UBKEH1,2024-05-31,,1.0
X003UMLL81,2024-05-31,,7.0
X003UMSI55,2024-05-31,,18.0
X003UMUR2R,2024-05-31,,70.0
X003UMWUX1,2024-05-31,,6.0
X003UMX0SZ,2024-05-31,,3.0
X003UMZ9MZ,2024-05-31,,34.0
X003UND9GH,2024-05-31,,40.0
X003UOSWRH,2024-05-31,,1.0
X003UPEQFD,2024-05-31,,13.0
X003UPIT83,2024-05-31,,3.0
X003USHJTZ,2024-05-31,,1.0
X003UTA0ZT,2024-05-31,,38.0
X003UTDTJN,2024-05-31,,5.0
X003UUGOGH,2024-05-31,,2.0
X003UUGOI5,2024-05-31,,1.0
X003UUJ8NX,2024-05-31,,5.0
X003UUJ8P1,2024-05-31,,1.0
X003UUJ8PV,2024-05-31,,7.0
X003UUJ8Q5,2024-05-31,,5.0
X003UUK9OP,2024-05-31,,6.0
X003UUK9P9,2024-05-31,,15.0
X003UUK9QN,2024-05-31,,5.0
X003UUK9SL,2024-05-31,,8.0
X003UUKCNX,2024-05-31,,5.0
X003UUKCOH,2024-05-31,,10.0
X003UUKCQF,2024-05-31,1.0,3.0
X003UUL2KF,2024-05-31,,1.0
X003UUNWOJ,2024-05-31,,1.0
X003UUPDV9,2024-05-31,,6.0
X003UWAYS9,2024-05-31,,25.0
X003UWKGPP,2024-05-31,,51.0
X003UWKGPZ,2024-05-31,2.0,61.0
X003X5S4IZ,2024-05-31,,1.0
X003XR1NIB,2024-05-31,,7.0
X003XR1NIL,2024-05-31,,7.0
X003XREVNZ,2024-05-31,,6.0
X003XREVO9,2024-05-31,,7.0
X003XRFY5J,2024-05-31,,11.0
X003XRFY5T,2024-05-31,,7.0
X003XRFY63,2024-05-31,,4.0
X003XRIQBN,2024-05-31,,5.0
X003XRIQBX,2024-05-31,,6.0
X003XWDWPN,2024-05-31,,4.0
X003XWDWQH,2024-05-31,,2.0
X003XY1BM7,2024-05-31,,8.0
X0040WNCKF,2024-05-31,,43.0
X0040WND2H,2024-05-31,,13.0
X002QDWKDZ,2024-06-01,3.0,183.0
X002QDY6S7,2024-06-01,,1.0
X002QHE2OL,2024-06-01,,9.0
X002R36WHJ,2024-06-01,,186.0
X002XRLKTJ,2024-06-01,,1.0
X002XS22HR,2024-06-01,,1.0
X00308MQNJ,2024-06-01,1.0,201.0
X0032IPGMZ,2024-06-01,,2.0
X0033GGGYN,2024-06-01,,334.0
X0033WPNNH,2024-06-01,4.0,1529.0
X0033WUSMN,2024-06-01,,35.0
X00345CTET,2024-06-01,,135.0
X00345CV97,2024-06-01,,56.0
X00345I17N,2024-06-01,,1.0
X0034Y231T,2024-06-01,,6.0
X0034Y233H,2024-06-01,,43.0
X0034Y3JYJ,2024-06-01,,1.0
X0039U5GIZ,2024-06-01,,7.0
X0039VNZN7,2024-06-01,,45.0
X0039VP7A1,2024-06-01,,2.0
X0039VT0DL,2024-06-01,,14.0
X003CYX7YD,2024-06-01,,1.0
X003CYXF3B,2024-06-01,1.0,2.0
X003CZT935,2024-06-01,,3.0
X003D00CA3,2024-06-01,,11.0
X003D03T17,2024-06-01,,5.0
X003D06K31,2024-06-01,,1.0
X003D06K45,2024-06-01,,1.0
X003D08K7F,2024-06-01,,40.0
X003D08K7P,2024-06-01,,10.0
X003D0IC1T,2024-06-01,,14.0
X003D0T7YF,2024-06-01,,1.0
X003D11OR7,2024-06-01,,2.0
X003D13CWR,2024-06-01,1.0,0.0
X003D1879F,2024-06-01,,70.0
X003D18F0V,2024-06-01,1.0,14.0
X003DTG4RJ,2024-06-01,,48.0
X003DTG4RT,2024-06-01,,245.0
X003DTKRJF,2024-06-01,,49.0
X003DTMYS7,2024-06-01,,100.0
X003DTMYSH,2024-06-01,,3.0
X003DTNF85,2024-06-01,,5.0
X003F3HIFF,2024-06-01,,28.0
X003IVKM9X,2024-06-01,,34.0
X003K9N8RL,2024-06-01,,2.0
X003UBKEH1,2024-06-01,,1.0
X003UMLL81,2024-06-01,,7.0
X003UMSI55,2024-06-01,,18.0
X003UMUR2R,2024-06-01,,70.0
X003UMWUX1,2024-06-01,,6.0
X003UMX0SZ,2024-06-01,,3.0
X003UMZ9MZ,2024-06-01,1.0,33.0
X003UND9GH,2024-06-01,,40.0
X003UOSWRH,2024-06-01,,1.0
X003UPEQFD,2024-06-01,,13.0
X003UPIT83,2024-06-01,,3.0
X003USHJTZ,2024-06-01,,1.0
X003UTA0ZT,2024-06-01,,38.0
X003UTDTJN,2024-06-01,,3.0
X003UUGOGH,2024-06-01,,2.0
X003UUGOI5,2024-06-01,,1.0
X003UUJ8NX,2024-06-01,,5.0
X003UUJ8P1,2024-06-01,,1.0
X003UUJ8PV,2024-06-01,,7.0
X003UUJ8Q5,2024-06-01,,5.0
X003UUK9OP,2024-06-01,,6.0
X003UUK9P9,2024-06-01,,15.0
X003UUK9QN,2024-06-01,,5.0
X003UUK9SL,2024-06-01,,8.0
X003UUKCNX,2024-06-01,,5.0
X003UUKCOH,2024-06-01,,10.0
X003UUKCQF,2024-06-01,,3.0
X003UUL2KF,2024-06-01,,1.0
X003UUNWOJ,2024-06-01,,1.0
X003UUPDV9,2024-06-01,,6.0
X003UWAYS9,2024-06-01,,25.0
X003UWKGPP,2024-06-01,,51.0
X003UWKGPZ,2024-06-01,1.0,59.0
X003X5S4IZ,2024-06-01,,1.0
X003XR1NIB,2024-06-01,,7.0
X003XR1NIL,2024-06-01,,7.0
X003XREVNZ,2024-06-01,,6.0
X003XREVO9,2024-06-01,,7.0
X003XRFY5J,2024-06-01,,11.0
X003XRFY5T,2024-06-01,,7.0
X003XRFY63,2024-06-01,,4.0
X003XRIQBN,2024-06-01,,5.0
X003XRIQBX,2024-06-01,,6.0
X003XWDWPN,2024-06-01,,4.0
X003XWDWQH,2024-06-01,,2.0
X003XY1BM7,2024-06-01,1.0,7.0
X0040WNCKF,2024-06-01,,43.0
X0040WND2H,2024-06-01,,13.0
X002QDWKDZ,2024-06-02,2.0,180.0
X002QDY6S7,2024-06-02,,1.0
X002QHE2OL,2024-06-02,,9.0
X002R36WHJ,2024-06-02,,186.0
X002XRLKTJ,2024-06-02,,1.0
X002XS22HR,2024-06-02,,1.0
X00308MQNJ,2024-06-02,,201.0
X0032IPGMZ,2024-06-02,,2.0
X0033GGGYN,2024-06-02,,334.0
X0033WPNNH,2024-06-02,2.0,1527.0
X0033WUSMN,2024-06-02,,35.0
X00345CTET,2024-06-02,2.0,133.0
X00345CV97,2024-06-02,1.0,55.0
X00345I17N,2024-06-02,,1.0
X0034Y231T,2024-06-02,,6.0
X0034Y233H,2024-06-02,,43.0
X0034Y3JYJ,2024-06-02,,1.0
X0039U5GIZ,2024-06-02,,7.0
X0039VNZN7,2024-06-02,,40.0
X0039VP7A1,2024-06-02,,2.0
X0039VT0DL,2024-06-02,,14.0
X003CYX7YD,2024-06-02,,1.0
X003CYXF3B,2024-06-02,1.0,1.0
X003CZT935,2024-06-02,,3.0
X003D00CA3,2024-06-02,,11.0
X003D03T17,2024-06-02,,5.0
X003D06K31,2024-06-02,,1.0
X003D06K45,2024-06-02,,1.0
X003D08K7F,2024-06-02,,40.0
X003D08K7P,2024-06-02,1.0,9.0
X003D0IC1T,2024-06-02,,14.0
X003D0T7YF,2024-06-02,,1.0
X003D11OR7,2024-06-02,,2.0
X003D13CWR,2024-06-02,,3.0
X003D1879F,2024-06-02,7.0,63.0
X003D18F0V,2024-06-02,4.0,11.0
X003DTG4RJ,2024-06-02,,48.0
X003DTG4RT,2024-06-02,,245.0
X003DTKRJF,2024-06-02,,49.0
X003DTMYS7,2024-06-02,,100.0
X003DTMYSH,2024-06-02,,3.0
X003DTNF85,2024-06-02,,4.0
X003F3HIFF,2024-06-02,,28.0
X003IVKM9X,2024-06-02,1.0,33.0
X003K9N8RL,2024-06-02,,2.0
X003UBKEH1,2024-06-02,,1.0
X003UMLL81,2024-06-02,,7.0
X003UMSI55,2024-06-02,1.0,17.0
X003UMUR2R,2024-06-02,,70.0
X003UMWUX1,2024-06-02,,6.0
X003UMX0SZ,2024-06-02,3.0,0.0
X003UMZ9MZ,2024-06-02,,33.0
X003UND9GH,2024-06-02,,40.0
X003UOSWRH,2024-06-02,,1.0
X003UPEQFD,2024-06-02,,13.0
X003UPIT83,2024-06-02,,3.0
X003USHJTZ,2024-06-02,,1.0
X003UTA0ZT,2024-06-02,,38.0
X003UTDTJN,2024-06-02,,3.0
X003UUGOGH,2024-06-02,,2.0
X003UUGOI5,2024-06-02,,1.0
X003UUJ8NX,2024-06-02,1.0,4.0
X003UUJ8P1,2024-06-02,,1.0
X003UUJ8PV,2024-06-02,,7.0
X003UUJ8Q5,2024-06-02,,5.0
X003UUK9OP,2024-06-02,,6.0
X003UUK9P9,2024-06-02,,15.0
X003UUK9QN,2024-06-02,,5.0
X003UUK9SL,2024-06-02,,1.0
X003UUKCNX,2024-06-02,,5.0
X003UUKCOH,2024-06-02,,8.0
X003UUKCQF,2024-06-02,,3.0
X003UUL2KF,2024-06-02,,1.0
X003UUNWOJ,2024-06-02,,1.0
X003UUPDV9,2024-06-02,,6.0
X003UWAYS9,2024-06-02,,24.0
X003UWKGPP,2024-06-02,4.0,47.0
X003UWKGPZ,2024-06-02,3.0,56.0
X003X5S4IZ,2024-06-02,,1.0
X003XR1NIB,2024-06-02,,7.0
X003XR1NIL,2024-06-02,,7.0
X003XREVNZ,2024-06-02,,6.0
X003XREVO9,2024-06-02,,7.0
X003XRFY5J,2024-06-02,,11.0
X003XRFY5T,2024-06-02,,7.0
X003XRFY63,2024-06-02,,4.0
X003XRIQBN,2024-06-02,,5.0
X003XRIQBX,2024-06-02,,6.0
X003XWDWPN,2024-06-02,,4.0
X003XWDWQH,2024-06-02,,2.0
X003XY1BM7,2024-06-02,,7.0
X0040WNCKF,2024-06-02,2.0,41.0
X0040WND2H,2024-06-02,1.0,12.0
X002QDWKDZ,2024-06-03,2.0,177.0
X002QDY6S7,2024-06-03,,1.0
X002QHE2OL,2024-06-03,1.0,8.0
X002R36WHJ,2024-06-03,,186.0
X002XRLKTJ,2024-06-03,,0.0
X002XS22HR,2024-06-03,,1.0
X00308MQNJ,2024-06-03,1.0,200.0
X0032IPGMZ,2024-06-03,,2.0
X0033GGGYN,2024-06-03,,334.0
X0033WPNNH,2024-06-03,5.0,1522.0
X0033WUSMN,2024-06-03,,35.0
X00345CTET,2024-06-03,2.0,132.0
X00345CV97,2024-06-03,,55.0
X00345I17N,2024-06-03,,1.0
X0034Y231T,2024-06-03,,6.0
X0034Y233H,2024-06-03,,43.0
X0034Y3JYJ,2024-06-03,,1.0
X0039U5GIZ,2024-06-03,,7.0
X0039VNZN7,2024-06-03,,35.0
X0039VP7A1,2024-06-03,,2.0
X0039VT0DL,2024-06-03,,14.0
X003CYX7YD,2024-06-03,,1.0
X003CYXF3B,2024-06-03,,0.0
X003CZT935,2024-06-03,,3.0
X003D00CA3,2024-06-03,,11.0
X003D03T17,2024-06-03,,5.0
X003D06K31,2024-06-03,,1.0
X003D06K45,2024-06-03,,1.0
X003D08K7F,2024-06-03,,40.0
X003D08K7P,2024-06-03,1.0,8.0
X003D0IC1T,2024-06-03,,14.0
X003D0T7YF,2024-06-03,,1.0
X003D11OR7,2024-06-03,,2.0
X003D13CWR,2024-06-03,,3.0
X003D1879F,2024-06-03,9.0,54.0
X003D18F0V,2024-06-03,5.0,7.0
X003DTG4RJ,2024-06-03,,48.0
X003DTG4RT,2024-06-03,,245.0
X003DTKRJF,2024-06-03,,49.0
X003DTMYS7,2024-06-03,,100.0
X003DTMYSH,2024-06-03,,3.0
X003DTNF85,2024-06-03,,4.0
X003F3HIFF,2024-06-03,,28.0
X003IVKM9X,2024-06-03,,33.0
X003K9N8RL,2024-06-03,,2.0
X003UBKEH1,2024-06-03,,1.0
X003UMLL81,2024-06-03,,7.0
X003UMSI55,2024-06-03,,17.0
X003UMUR2R,2024-06-03,1.0,69.0
X003UMWUX1,2024-06-03,,6.0
X003UMZ9MZ,2024-06-03,2.0,31.0
X003UND9GH,2024-06-03,,40.0
X003UOSWRH,2024-06-03,,1.0
X003UPEQFD,2024-06-03,,13.0
X003UPIT83,2024-06-03,,3.0
X003USHJTZ,2024-06-03,,1.0
X003UTA0ZT,2024-06-03,,38.0
X003UTDTJN,2024-06-03,,3.0
X003UUGOGH,2024-06-03,,2.0
X003UUGOI5,2024-06-03,,1.0
X003UUJ8NX,2024-06-03,1.0,3.0
X003UUJ8P1,2024-06-03,,1.0
X003UUJ8PV,2024-06-03,,7.0
X003UUJ8Q5,2024-06-03,,5.0
X003UUK9OP,2024-06-03,,6.0
X003UUK9P9,2024-06-03,,15.0
X003UUK9QN,2024-06-03,,5.0
X003UUK9SL,2024-06-03,,0.0
X003UUKCNX,2024-06-03,,5.0
X003UUKCOH,2024-06-03,,5.0
X003UUKCQF,2024-06-03,,3.0
X003UUL2KF,2024-06-03,,0.0
X003UUNWOJ,2024-06-03,,1.0
X003UUPDV9,2024-06-03,,6.0
X003UWAYS9,2024-06-03,,22.0
X003UWKGPP,2024-06-03,,47.0
X003UWKGPZ,2024-06-03,2.0,54.0
X003X5S4IZ,2024-06-03,,1.0
X003XR1NIB,2024-06-03,,7.0
X003XR1NIL,2024-06-03,,0.0
X003XREVNZ,2024-06-03,,6.0
X003XREVO9,2024-06-03,,7.0
X003XRFY5J,2024-06-03,,0.0
X003XRFY5T,2024-06-03,,7.0
X003XRFY63,2024-06-03,,4.0
X003XRIQBN,2024-06-03,,5.0
X003XRIQBX,2024-06-03,,6.0
X003XWDWPN,2024-06-03,,4.0
X003XWDWQH,2024-06-03,,2.0
X003XY1BM7,2024-06-03,,7.0
X0040WNCKF,2024-06-03,,41.0
X0040WND2H,2024-06-03,,12.0
X002QDWKDZ,2024-06-04,,177.0
X002QDY6S7,2024-06-04,,1.0
X002QHE2OL,2024-06-04,2.0,6.0
X002R36WHJ,2024-06-04,,186.0
X002XRLKTJ,2024-06-04,,3.0
X002XS22HR,2024-06-04,,1.0
X00308MQNJ,2024-06-04,1.0,199.0
X0032IPGMZ,2024-06-04,,2.0
X0033GGGYN,2024-06-04,,334.0
X0033WPNNH,2024-06-04,1.0,1521.0
X0033WUSMN,2024-06-04,1.0,34.0
X00345CTET,2024-06-04,,132.0
X00345CV97,2024-06-04,,55.0
X00345I17N,2024-06-04,,1.0
X0034Y231T,2024-06-04,,7.0
X0034Y233H,2024-06-04,3.0,40.0
X0034Y3JYJ,2024-06-04,,1.0
X0039U5GIZ,2024-06-04,,7.0
X0039VNZN7,2024-06-04,,33.0
X0039VP7A1,2024-06-04,,2.0
X0039VT0DL,2024-06-04,,14.0
X003CYX7YD,2024-06-04,,1.0
X003CYXF3B,2024-06-04,,1.0
X003CZT935,2024-06-04,,3.0
X003D00CA3,2024-06-04,,11.0
X003D03T17,2024-06-04,,5.0
X003D06K31,2024-06-04,,1.0
X003D06K45,2024-06-04,,1.0
X003D08K7F,2024-06-04,1.0,39.0
X003D08K7P,2024-06-04,,8.0
X003D0IC1T,2024-06-04,,14.0
X003D0T7YF,2024-06-04,,1.0
X003D11OR7,2024-06-04,,2.0
X003D13CWR,2024-06-04,,3.0
X003D1879F,2024-06-04,5.0,49.0
X003D18F0V,2024-06-04,1.0,6.0
X003DTG4RJ,2024-06-04,,48.0
X003DTG4RT,2024-06-04,,245.0
X003DTKRJF,2024-06-04,,49.0
X003DTMYS7,2024-06-04,,100.0
X003DTMYSH,2024-06-04,,3.0
X003DTNF85,2024-06-04,,4.0
X003F3HIFF,2024-06-04,,28.0
X003IVKM9X,2024-06-04,,33.0
X003K9N8RL,2024-06-04,,2.0
X003UBKEH1,2024-06-04,,1.0
X003UMLL81,2024-06-04,,7.0
X003UMSI55,2024-06-04,,17.0
X003UMUR2R,2024-06-04,,69.0
X003UMWUX1,2024-06-04,,6.0
X003UMZ9MZ,2024-06-04,1.0,30.0
X003UND9GH,2024-06-04,,40.0
X003UOSWRH,2024-06-04,,1.0
X003UPEQFD,2024-06-04,,13.0
X003UPIT83,2024-06-04,,3.0
X003USHJTZ,2024-06-04,,1.0
X003UTA0ZT,2024-06-04,,38.0
X003UTDTJN,2024-06-04,,3.0
X003UUGOGH,2024-06-04,,2.0
X003UUGOI5,2024-06-04,,1.0
X003UUJ8NX,2024-06-04,1.0,2.0
X003UUJ8P1,2024-06-04,,1.0
X003UUJ8PV,2024-06-04,,7.0
X003UUJ8Q5,2024-06-04,,5.0
X003UUK9OP,2024-06-04,,6.0
X003UUK9P9,2024-06-04,,15.0
X003UUK9QN,2024-06-04,,5.0
X003UUKCNX,2024-06-04,,5.0
X003UUKCOH,2024-06-04,,5.0
X003UUKCQF,2024-06-04,,3.0
X003UUNWOJ,2024-06-04,,1.0
X003UUPDV9,2024-06-04,,6.0
X003UWAYS9,2024-06-04,,15.0
X003UWKGPP,2024-06-04,,47.0
X003UWKGPZ,2024-06-04,2.0,52.0
X003X5S4IZ,2024-06-04,,1.0
X003XR1NIB,2024-06-04,,7.0
X003XREVNZ,2024-06-04,,6.0
X003XREVO9,2024-06-04,,7.0
X003XRFY5T,2024-06-04,,7.0
X003XRFY63,2024-06-04,,4.0
X003XRIQBN,2024-06-04,,5.0
X003XRIQBX,2024-06-04,,6.0
X003XWDWPN,2024-06-04,,4.0
X003XWDWQH,2024-06-04,,2.0
X003XY1BM7,2024-06-04,,6.0
X0040WNCKF,2024-06-04,,41.0
X0040WND2H,2024-06-04,,12.0
X002QDWKDZ,2024-06-05,1.0,176.0
X002QDY6S7,2024-06-05,,1.0
X002QHE2OL,2024-06-05,3.0,3.0
X002R36WHJ,2024-06-05,,0.0
X002XRLKTJ,2024-06-05,,3.0
X002XS22HR,2024-06-05,,1.0
X00308MQNJ,2024-06-05,,197.0
X0032IPGMZ,2024-06-05,,2.0
X0033GGGYN,2024-06-05,,334.0
X0033WPNNH,2024-06-05,3.0,1518.0
X0033WUSMN,2024-06-05,,34.0
X00345CTET,2024-06-05,1.0,133.0
X00345CV97,2024-06-05,,55.0
X00345I17N,2024-06-05,,1.0
X0034Y231T,2024-06-05,,7.0
X0034Y233H,2024-06-05,,40.0
X0034Y3JYJ,2024-06-05,,1.0
X0039U5GIZ,2024-06-05,,7.0
X0039VNZN7,2024-06-05,,28.0
X0039VP7A1,2024-06-05,,2.0
X0039VT0DL,2024-06-05,,14.0
X003CYX7YD,2024-06-05,,1.0
X003CYXF3B,2024-06-05,,1.0
X003CZT935,2024-06-05,,3.0
X003D00CA3,2024-06-05,4.0,7.0
X003D03T17,2024-06-05,,5.0
X003D06K31,2024-06-05,,1.0
X003D06K45,2024-06-05,,1.0
X003D08K7F,2024-06-05,,39.0
X003D08K7P,2024-06-05,,8.0
X003D0IC1T,2024-06-05,,14.0
X003D0T7YF,2024-06-05,,1.0
X003D11OR7,2024-06-05,,2.0
X003D13CWR,2024-06-05,,3.0
X003D1879F,2024-06-05,3.0,46.0
X003D18F0V,2024-06-05,,6.0
X003DTG4RJ,2024-06-05,,48.0
X003DTG4RT,2024-06-05,,245.0
X003DTKRJF,2024-06-05,,49.0
X003DTMYS7,2024-06-05,,100.0
X003DTMYSH,2024-06-05,,3.0
X003DTNF85,2024-06-05,,4.0
X003F3HIFF,2024-06-05,,28.0
X003IVKM9X,2024-06-05,1.0,32.0
X003K9N8RL,2024-06-05,,2.0
X003UBKEH1,2024-06-05,,1.0
X003UMLL81,2024-06-05,4.0,3.0
X003UMSI55,2024-06-05,1.0,16.0
X003UMUR2R,2024-06-05,,69.0
X003UMWUX1,2024-06-05,,5.0
X003UMZ9MZ,2024-06-05,1.0,29.0
X003UND9GH,2024-06-05,,40.0
X003UOSWRH,2024-06-05,,1.0
X003UPEQFD,2024-06-05,,13.0
X003UPIT83,2024-06-05,,1.0
X003USHJTZ,2024-06-05,1.0,0.0
X003UTA0ZT,2024-06-05,,38.0
X003UTDTJN,2024-06-05,,3.0
X003UUGOGH,2024-06-05,,2.0
X003UUGOI5,2024-06-05,,1.0
X003UUJ8NX,2024-06-05,,2.0
X003UUJ8P1,2024-06-05,,1.0
X003UUJ8PV,2024-06-05,,7.0
X003UUJ8Q5,2024-06-05,,5.0
X003UUK9OP,2024-06-05,,6.0
X003UUK9P9,2024-06-05,,15.0
X003UUK9QN,2024-06-05,,5.0
X003UUKCNX,2024-06-05,,5.0
X003UUKCOH,2024-06-05,,4.0
X003UUKCQF,2024-06-05,,3.0
X003UUNWOJ,2024-06-05,,1.0
X003UUPDV9,2024-06-05,,6.0
X003UWAYS9,2024-06-05,,15.0
X003UWKGPP,2024-06-05,,47.0
X003UWKGPZ,2024-06-05,4.0,47.0
X003X5S4IZ,2024-06-05,,1.0
X003XR1NIB,2024-06-05,,1.0
X003XREVNZ,2024-06-05,,0.0
X003XREVO9,2024-06-05,,0.0
X003XRFY5T,2024-06-05,,0.0
X003XRFY63,2024-06-05,,0.0
X003XRIQBN,2024-06-05,,1.0
X003XRIQBX,2024-06-05,,0.0
X003XWDWPN,2024-06-05,,4.0
X003XWDWQH,2024-06-05,,2.0
X003XY1BM7,2024-06-05,,7.0
X0040WNCKF,2024-06-05,,41.0
X0040WND2H,2024-06-05,,12.0
X002QDWKDZ,2024-06-06,,175.0
X002QDY6S7,2024-06-06,,1.0
X002QHE2OL,2024-06-06,3.0,0.0
X002R36WHJ,2024-06-06,,185.0
X002XRLKTJ,2024-06-06,,3.0
X002XS22HR,2024-06-06,,1.0
X00308MQNJ,2024-06-06,2.0,197.0
X0032IPGMZ,2024-06-06,,2.0
X0033GGGYN,2024-06-06,,334.0
X0033WPNNH,2024-06-06,2.0,1516.0
X0033WUSMN,2024-06-06,,34.0
X00345CTET,2024-06-06,1.0,132.0
X00345CV97,2024-06-06,,55.0
X00345I17N,2024-06-06,,1.0
X0034Y231T,2024-06-06,1.0,6.0
X0034Y233H,2024-06-06,1.0,39.0
